name	0	CUDA 0
cnt_submitted	8522.702236000	8
cnt_ready	8522.703603000	8
cnt_submitted	8522.706533000	9
cnt_ready	8522.720929000	9
cnt_submitted	8522.723670000	10
cnt_ready	8522.725092000	10
cnt_submitted	8522.728100000	11
cnt_ready	8522.728249000	9
cnt_submitted	8522.728249000	10
cnt_ready	8522.729567000	10
cnt_submitted	8522.732977000	11
cnt_ready	8522.734351000	11
cnt_submitted	8522.737136000	12
cnt_ready	8522.738377000	12
cnt_submitted	8522.741334000	13
cnt_ready	8522.742468000	13
cnt_submitted	8522.745423000	14
cnt_ready	8522.746590000	14
0	8762.377321000	239.783234000	239.705995000	0.048247000
cnt_ready	8762.401276000	13
cnt_submitted	8762.401276000	13
0	9001.927745000	239.550424000	239.540852000	0.000000000
cnt_ready	9001.949901000	12
cnt_submitted	9001.949901000	12
0	9241.594525000	239.666780000	239.658225000	0.000000000
cnt_ready	9241.645479000	11
cnt_submitted	9241.645479000	11
0	9481.190472000	239.595947000	239.576354000	0.000000000
cnt_ready	9481.251153000	10
cnt_submitted	9481.251153000	10
0	9720.711715000	239.521243000	239.497268000	0.000000000
cnt_ready	9720.763790000	9
cnt_submitted	9720.763790000	9
0	9960.271271000	239.559556000	239.539155000	0.000000000
cnt_ready	9960.297880000	8
cnt_submitted	9960.297880000	8
0	10199.844339000	239.573068000	239.562189000	0.000000000
cnt_ready	10199.871216000	7
cnt_submitted	10199.871216000	7
0	10439.386912000	239.542573000	239.531646000	0.000000000
cnt_ready	10439.411166000	6
cnt_submitted	10439.411166000	6
0	10678.983495000	239.596583000	239.587039000	0.000000000
cnt_ready	10679.241504000	5
cnt_submitted	10679.241504000	5
0	10918.508300000	239.524805000	239.424658000	0.000000000
cnt_ready	10918.564085000	4
cnt_submitted	10918.564085000	4
0	11158.062974000	239.554674000	239.532592000	0.000000000
cnt_ready	11158.089984000	3
cnt_submitted	11158.089984000	3
0	11397.620929000	239.557955000	239.547129000	0.000000000
cnt_ready	11397.644845000	2
cnt_submitted	11397.644845000	2
0	11637.190120000	239.569191000	239.559866000	0.000000000
cnt_ready	11637.212952000	1
cnt_submitted	11637.212952000	1
0	11876.708803000	239.518683000	239.509464000	0.000000000
cnt_ready	11876.754153000	0
cnt_submitted	11876.754153000	0
0	12116.332475000	239.623672000	239.605838000	0.000000000
0	12355.810973000	239.478498000	239.355967000	0.000000000
